code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
34256,Saint-Geniès-des-Mourgues,34,Hérault,Occitanie,43.6989036802041,4.023072847145666,images\image_643_heading_0.jpg,images\image_643_heading_1.jpg,images\image_643_heading_2.jpg,images\image_643_heading_3.jpg
34172,Montpellier,34,Hérault,Occitanie,43.6363504896335,3.854000296207376,images\image_648_heading_0.jpg,images\image_648_heading_1.jpg,images\image_648_heading_2.jpg,images\image_648_heading_3.jpg
34300,Servian,34,Hérault,Occitanie,43.39437475850819,3.3089000499091963,images\image_650_heading_0.jpg,images\image_650_heading_1.jpg,images\image_650_heading_2.jpg,images\image_650_heading_3.jpg
34172,Montpellier,34,Hérault,Occitanie,43.60469574666432,3.9201875899360923,images\image_651_heading_0.jpg,images\image_651_heading_1.jpg,images\image_651_heading_2.jpg,images\image_651_heading_3.jpg
34285,Saint-Pons-de-Mauchiens,34,Hérault,Occitanie,43.50953451049343,3.5164832757840974,images\image_653_heading_0.jpg,images\image_653_heading_1.jpg,images\image_653_heading_2.jpg,images\image_653_heading_3.jpg
34135,Lespignan,34,Hérault,Occitanie,43.27464136942027,3.1793617039882567,images\image_654_heading_0.jpg,images\image_654_heading_1.jpg,images\image_654_heading_2.jpg,images\image_654_heading_3.jpg
34010,Aniane,34,Hérault,Occitanie,43.66791712108238,3.5685075062892646,images\image_656_heading_0.jpg,images\image_656_heading_1.jpg,images\image_656_heading_2.jpg,images\image_656_heading_3.jpg
34178,Murviel-lès-Béziers,34,Hérault,Occitanie,43.421706742800616,3.14150338370743,images\image_657_heading_0.jpg,images\image_657_heading_1.jpg,images\image_657_heading_2.jpg,images\image_657_heading_3.jpg
34057,Castelnau-le-Lez,34,Hérault,Occitanie,43.63208537315552,3.900339201027748,images\image_658_heading_0.jpg,images\image_658_heading_1.jpg,images\image_658_heading_2.jpg,images\image_658_heading_3.jpg
34120,Jacou,34,Hérault,Occitanie,43.6701734473559,3.914222147095329,images\image_659_heading_0.jpg,images\image_659_heading_1.jpg,images\image_659_heading_2.jpg,images\image_659_heading_3.jpg
35144,Langan,35,Ille-et-Vilaine,Bretagne,48.23150372710709,-1.8352261998791564,images\image_660_heading_0.jpg,images\image_660_heading_1.jpg,images\image_660_heading_2.jpg,images\image_660_heading_3.jpg
35238,Rennes,35,Ille-et-Vilaine,Bretagne,48.11895723775936,-1.6795884619873593,images\image_661_heading_0.jpg,images\image_661_heading_1.jpg,images\image_661_heading_2.jpg,images\image_661_heading_3.jpg
35060,La Chapelle du Lou du Lac,35,Ille-et-Vilaine,Bretagne,48.19876854208704,-1.9978154347301467,images\image_662_heading_0.jpg,images\image_662_heading_1.jpg,images\image_662_heading_2.jpg,images\image_662_heading_3.jpg
35238,Rennes,35,Ille-et-Vilaine,Bretagne,48.08712938734478,-1.643043507737648,images\image_663_heading_0.jpg,images\image_663_heading_1.jpg,images\image_663_heading_2.jpg,images\image_663_heading_3.jpg
35223,Plélan-le-Grand,35,Ille-et-Vilaine,Bretagne,48.00310070314208,-2.10787141989818,images\image_664_heading_0.jpg,images\image_664_heading_1.jpg,images\image_664_heading_2.jpg,images\image_664_heading_3.jpg
35218,Le Petit-Fougeray,35,Ille-et-Vilaine,Bretagne,47.93625186148398,-1.6331413673865518,images\image_665_heading_0.jpg,images\image_665_heading_1.jpg,images\image_665_heading_2.jpg,images\image_665_heading_3.jpg
35284,Saint-Jouan-des-Guérets,35,Ille-et-Vilaine,Bretagne,48.60981459908758,-1.9765749874652325,images\image_666_heading_0.jpg,images\image_666_heading_1.jpg,images\image_666_heading_2.jpg,images\image_666_heading_3.jpg
35137,Javené,35,Ille-et-Vilaine,Bretagne,48.33123873270626,-1.2029958565247731,images\image_667_heading_0.jpg,images\image_667_heading_1.jpg,images\image_667_heading_2.jpg,images\image_667_heading_3.jpg
35290,Saint-Malon-sur-Mel,35,Ille-et-Vilaine,Bretagne,48.08068524207352,-2.110405061955783,images\image_668_heading_0.jpg,images\image_668_heading_1.jpg,images\image_668_heading_2.jpg,images\image_668_heading_3.jpg
35047,Bruz,35,Ille-et-Vilaine,Bretagne,48.02286278863427,-1.7694766961177584,images\image_669_heading_0.jpg,images\image_669_heading_1.jpg,images\image_669_heading_2.jpg,images\image_669_heading_3.jpg
35174,Mellé,35,Ille-et-Vilaine,Bretagne,48.5038280150549,-1.1753671346288397,images\image_670_heading_0.jpg,images\image_670_heading_1.jpg,images\image_670_heading_2.jpg,images\image_670_heading_3.jpg
35243,Romagné,35,Ille-et-Vilaine,Bretagne,48.348944484099405,-1.2609311263763832,images\image_672_heading_0.jpg,images\image_672_heading_1.jpg,images\image_672_heading_2.jpg,images\image_672_heading_3.jpg
